sp sex index FL RW CL CW BD
B M  1  8.1  6.7 16.1 19.0  7.0
B M  2  8.8  7.7 18.1 20.8  7.4
B M  3  9.2  7.8 19.0 22.4  7.7
B M  4  9.6  7.9 20.1 23.1  8.2
B M  5  9.8  8.0 20.3 23.0  8.2
B M  6 10.8  9.0 23.0 26.5  9.8
B M  7 11.1  9.9 23.8 27.1  9.8
B M  8 11.6  9.1 24.5 28.4 10.4
B M  9 11.8  9.6 24.2 27.8  9.7
B M 10 11.8 10.5 25.2 29.3 10.3
B M 11 12.2 10.8 27.3 31.6 10.9
B M 12 12.3 11.0 26.8 31.5 11.4
B M 13 12.6 10.0 27.7 31.7 11.4
B M 14 12.8 10.2 27.2 31.8 10.9
B M 15 12.8 10.9 27.4 31.5 11.0
B M 16 12.9 11.0 26.8 30.9 11.4
B M 17 13.1 10.6 28.2 32.3 11.0
B M 18 13.1 10.9 28.3 32.4 11.2
B M 19 13.3 11.1 27.8 32.3 11.3
B M 20 13.9 11.1 29.2 33.3 12.1
B M 21 14.3 11.6 31.3 35.5 12.7
B M 22 14.6 11.3 31.9 36.4 13.7
B M 23 15.0 10.9 31.4 36.4 13.2
B M 24 15.0 11.5 32.4 37.0 13.4
B M 25 15.0 11.9 32.5 37.2 13.6
B M 26 15.2 12.1 32.3 36.7 13.6
B M 27 15.4 11.8 33.0 37.5 13.6
B M 28 15.7 12.6 35.8 40.3 14.5
B M 29 15.9 12.7 34.0 38.9 14.2
B M 30 16.1 11.6 33.8 39.0 14.4
B M 31 16.1 12.8 34.9 40.7 15.7
B M 32 16.2 13.3 36.0 41.7 15.4
B M 33 16.3 12.7 35.6 40.9 14.9
B M 34 16.4 13.0 35.7 41.8 15.2
B M 35 16.6 13.5 38.1 43.4 14.9
B M 36 16.8 12.8 36.2 41.8 14.9
B M 37 16.9 13.2 37.3 42.7 15.6
B M 38 17.1 12.6 36.4 42.0 15.1
B M 39 17.1 12.7 36.7 41.9 15.6
B M 40 17.2 13.5 37.6 43.9 16.1
B M 41 17.7 13.6 38.7 44.5 16.0
B M 42 17.9 14.1 39.7 44.6 16.8
B M 43 18.0 13.7 39.2 44.4 16.2
B M 44 18.8 15.8 42.1 49.0 17.8
B M 45 19.3 13.5 41.6 47.4 17.8
B M 46 19.3 13.8 40.9 46.5 16.8
B M 47 19.7 15.3 41.9 48.5 17.8
B M 48 19.8 14.2 43.2 49.7 18.6
B M 49 19.8 14.3 42.4 48.9 18.3
B M 50 21.3 15.7 47.1 54.6 20.0
B F  1  7.2  6.5 14.7 17.1  6.1
B F  2  9.0  8.5 19.3 22.7  7.7
B F  3  9.1  8.1 18.5 21.6  7.7
B F  4  9.1  8.2 19.2 22.2  7.7
B F  5  9.5  8.2 19.6 22.4  7.8
B F  6  9.8  8.9 20.4 23.9  8.8
B F  7 10.1  9.3 20.9 24.4  8.4
B F  8 10.3  9.5 21.3 24.7  8.9
B F  9 10.4  9.7 21.7 25.4  8.3
B F 10 10.8  9.5 22.5 26.3  9.1
B F 11 11.0  9.8 22.5 25.7  8.2
B F 12 11.2 10.0 22.8 26.9  9.4
B F 13 11.5 11.0 24.7 29.2 10.1
B F 14 11.6 11.0 24.6 28.5 10.4
B F 15 11.6 11.4 23.7 27.7 10.0
B F 16 11.7 10.6 24.9 28.5 10.4
B F 17 11.9 11.4 26.0 30.1 10.9
B F 18 12.0 10.7 24.6 28.9 10.5
B F 19 12.0 11.1 25.4 29.2 11.0
B F 20 12.6 12.2 26.1 31.6 11.2
B F 21 12.8 11.7 27.1 31.2 11.9
B F 22 12.8 12.2 26.7 31.1 11.1
B F 23 12.8 12.2 27.9 31.9 11.5
B F 24 13.0 11.4 27.3 31.8 11.3
B F 25 13.1 11.5 27.6 32.6 11.1
B F 26 13.2 12.2 27.9 32.1 11.5
B F 27 13.4 11.8 28.4 32.7 11.7
B F 28 13.7 12.5 28.6 33.8 11.9
B F 29 13.9 13.0 30.0 34.9 13.1
B F 30 14.7 12.5 30.1 34.7 12.5
B F 31 14.9 13.2 30.1 35.6 12.0
B F 32 15.0 13.8 31.7 36.9 14.0
B F 33 15.0 14.2 32.8 37.4 14.0
B F 34 15.1 13.3 31.8 36.3 13.5
B F 35 15.1 13.5 31.9 37.0 13.8
B F 36 15.1 13.8 31.7 36.6 13.0
B F 37 15.2 14.3 33.9 38.5 14.7
B F 38 15.3 14.2 32.6 38.3 13.8
B F 39 15.4 13.3 32.4 37.6 13.8
B F 40 15.5 13.8 33.4 38.7 14.7
B F 41 15.6 13.9 32.8 37.9 13.4
B F 42 15.6 14.7 33.9 39.5 14.3
B F 43 15.7 13.9 33.6 38.5 14.1
B F 44 15.8 15.0 34.5 40.3 15.3
B F 45 16.2 15.2 34.5 40.1 13.9
B F 46 16.4 14.0 34.2 39.8 15.2
B F 47 16.7 16.1 36.6 41.9 15.4
B F 48 17.4 16.9 38.2 44.1 16.6
B F 49 17.5 16.7 38.6 44.5 17.0
B F 50 19.2 16.5 40.9 47.9 18.1
O M  1  9.1  6.9 16.7 18.6  7.4
O M  2 10.2  8.2 20.2 22.2  9.0
O M  3 10.7  8.6 20.7 22.7  9.2
O M  4 11.4  9.0 22.7 24.8 10.1
O M  5 12.5  9.4 23.2 26.0 10.8
O M  6 12.5  9.4 24.2 27.0 11.2
O M  7 12.7 10.4 26.0 28.8 12.1
O M  8 13.2 11.0 27.1 30.4 12.2
O M  9 13.4 10.1 26.6 29.6 12.0
O M 10 13.7 11.0 27.5 30.5 12.2
O M 11 14.0 11.5 29.2 32.2 13.1
O M 12 14.1 10.4 28.9 31.8 13.5
O M 13 14.1 10.5 29.1 31.6 13.1
