Field	Time	EricAutoLabel:C7:X	EricAutoLabel:C7:Y	EricAutoLabel:C7:Z	EricAutoLabel:CLAV:X	EricAutoLabel:CLAV:Y	EricAutoLabel:CLAV:Z	EricAutoLabel:LANK:X	EricAutoLabel:LANK:Y	EricAutoLabel:LANK:Z	EricAutoLabel:LBHD:X	EricAutoLabel:LBHD:Y	EricAutoLabel:LBHD:Z	EricAutoLabel:LBWT:X	EricAutoLabel:LBWT:Y	EricAutoLabel:LBWT:Z	EricAutoLabel:LELB:X	EricAutoLabel:LELB:Y	EricAutoLabel:LELB:Z	EricAutoLabel:LFHD:X	EricAutoLabel:LFHD:Y	EricAutoLabel:LFHD:Z	EricAutoLabel:LFIN:X	EricAutoLabel:LFIN:Y	EricAutoLabel:LFIN:Z	EricAutoLabel:LFRM:X	EricAutoLabel:LFRM:Y	EricAutoLabel:LFRM:Z	EricAutoLabel:LFWT:X	EricAutoLabel:LFWT:Y	EricAutoLabel:LFWT:Z	EricAutoLabel:LHEE:X	EricAutoLabel:LHEE:Y	EricAutoLabel:LHEE:Z	EricAutoLabel:LKNE:X	EricAutoLabel:LKNE:Y	EricAutoLabel:LKNE:Z	EricAutoLabel:LMT5:X	EricAutoLabel:LMT5:Y	EricAutoLabel:LMT5:Z	EricAutoLabel:LSHN:X	EricAutoLabel:LSHN:Y	EricAutoLabel:LSHN:Z	EricAutoLabel:LSHO:X	EricAutoLabel:LSHO:Y	EricAutoLabel:LSHO:Z	EricAutoLabel:LTHI:X	EricAutoLabel:LTHI:Y	EricAutoLabel:LTHI:Z	EricAutoLabel:LTOE:X	EricAutoLabel:LTOE:Y	EricAutoLabel:LTOE:Z	EricAutoLabel:LUPA:X	EricAutoLabel:LUPA:Y	EricAutoLabel:LUPA:Z	EricAutoLabel:LWRA:X	EricAutoLabel:LWRA:Y	EricAutoLabel:LWRA:Z	EricAutoLabel:LWRB:X	EricAutoLabel:LWRB:Y	EricAutoLabel:LWRB:Z	EricAutoLabel:RANK:X	EricAutoLabel:RANK:Y	EricAutoLabel:RANK:Z	EricAutoLabel:RBAC:X	EricAutoLabel:RBAC:Y	EricAutoLabel:RBAC:Z	EricAutoLabel:RBHD:X	EricAutoLabel:RBHD:Y	EricAutoLabel:RBHD:Z	EricAutoLabel:RBWT:X	EricAutoLabel:RBWT:Y	EricAutoLabel:RBWT:Z	EricAutoLabel:RELB:X	EricAutoLabel:RELB:Y	EricAutoLabel:RELB:Z	EricAutoLabel:RFHD:X	EricAutoLabel:RFHD:Y	EricAutoLabel:RFHD:Z	EricAutoLabel:RFIN:X	EricAutoLabel:RFIN:Y	EricAutoLabel:RFIN:Z	EricAutoLabel:RFRM:X	EricAutoLabel:RFRM:Y	EricAutoLabel:RFRM:Z	EricAutoLabel:RFWT:X	EricAutoLabel:RFWT:Y	EricAutoLabel:RFWT:Z	EricAutoLabel:RHEE:X	EricAutoLabel:RHEE:Y	EricAutoLabel:RHEE:Z	EricAutoLabel:RKNE:X	EricAutoLabel:RKNE:Y	EricAutoLabel:RKNE:Z	EricAutoLabel:RMT5:X	EricAutoLabel:RMT5:Y	EricAutoLabel:RMT5:Z	EricAutoLabel:RSHN:X	EricAutoLabel:RSHN:Y	EricAutoLabel:RSHN:Z	EricAutoLabel:RSHO:X	EricAutoLabel:RSHO:Y	EricAutoLabel:RSHO:Z	EricAutoLabel:RTHI:X	EricAutoLabel:RTHI:Y	EricAutoLabel:RTHI:Z	EricAutoLabel:RTOE:X	EricAutoLabel:RTOE:Y	EricAutoLabel:RTOE:Z	EricAutoLabel:RUPA:X	EricAutoLabel:RUPA:Y	EricAutoLabel:RUPA:Z	EricAutoLabel:RWRA:X	EricAutoLabel:RWRA:Y	EricAutoLabel:RWRA:Z	EricAutoLabel:RWRB:X	EricAutoLabel:RWRB:Y	EricAutoLabel:RWRB:Z	EricAutoLabel:STRN:X	EricAutoLabel:STRN:Y	EricAutoLabel:STRN:Z	EricAutoLabel:T10:X	EricAutoLabel:T10:Y	EricAutoLabel:T10:Z
1	0.0000	-2114.7	-1520.2	1369.2	-9999.99	-9999.99	-9999.99	-2080.1	-1275.6	108.89	-2053.5	-1435.7	1485.6	-2279.6	-1465.8	934.99	-2175.1	-1228.9	999.83	-1937.4	-1376.6	1538.5	-2080.3	-1212.9	708.05	-2174.2	-1234.3	880.67	-2101.2	-1402.6	839.51	-2123.7	-1337.2	27.412	-2068.7	-1303.1	456.76	-1986.1	-1198.3	30.383	-2090.1	-1274.2	329.88	-2076.5	-1328.4	1341.4	-2081	-1315.8	688.45	-1907.8	-1219.2	57.456	-2144.7	-1246.1	1186.5	-2044.7	-1265.6	791.05	-2159.9	-1202	791.99	-2307.5	-1779.3	98.701	-2154.1	-1623.9	1289.1	-2002.2	-1571.7	1479.5	-2243.7	-1639.3	955.61	-1975	-1802.8	1012	-1856.9	-1482.8	1545.2	-1939.7	-1781.1	682.85	-1946.1	-1802.3	835.1	-2033.6	-1668.4	848.59	-2381.8	-1723.1	32.929	-2216.9	-1767.9	453.96	-2196.4	-1800.4	31.401	-2282.2	-1790.9	253.92	-1987.4	-1655.2	1329	-2129	-1749.6	592.38	-2107.2	-1753.5	46.253	-1970.5	-1731.1	1254	-1904.1	-1724.2	778.83	-1990.1	-1828.3	765.59	-9999.99	-9999.99	-9999.99	-2227.4	-1551.7	1212.3
2	0.0083	-2110.4	-1516.5	1368	-9999.99	-9999.99	-9999.99	-2079.8	-1275.4	109.23	-2049.1	-1432.1	1483.7	-2276.3	-1462.8	933.8	-2173.6	-1225.8	999.49	-1931.3	-1373.2	1536.2	-2082.4	-1211.2	706.7	-2174	-1232	879.83	-2092.2	-1399.4	838.66	-2124	-1337.3	28.006	-2066.4	-1302	458.03	-1985.9	-1198.7	30.128	-2087.8	-1273.1	330.31	-2072	-1324.7	1339.9	-2077.8	-1313.6	688.45	-1907.7	-1219.6	57.456	-2141.3	-1243	1185.5	-2045.4	-1264.3	788.85	-2159.3	-1199.8	790.29	-2307.6	-1779.3	98.532	-2149.6	-1620.4	1288	-1997.5	-1567.9	1477.5	-2241.1	-1636.3	955.27	-1970.3	-1800.1	1010.7	-1852.3	-1479	1543.4	-1936.3	-1775.8	681.66	-1942.1	-1798.8	834.17	-2030.9	-1666.1	847.15	-2381.8	-1723.2	32.929	-2217.3	-1767.6	454.13	-2196.1	-1800.7	31.062	-2282.4	-1790.9	254.01	-1982.4	-1651.3	1327.4	-2128.6	-1748.5	592.21	-2107.4	-1753.8	46.338	-1965.4	-1727.7	1252.7	-1900.9	-1719.2	777.9	-1984.7	-1824.1	764.15	-1938.4	-1463.5	1078.3	-2223.2	-1548.4	1211.4
3	0.0167	-2105.7	-1512.9	1366.8	-9999.99	-9999.99	-9999.99	-2079.7	-1275.5	109.23	-2044.3	-1428.2	1481.6	-2273.2	-1459.6	932.78	-2171.8	-1222.5	998.81	-1929.9	-1369	1535.3	-2083.5	-1210.2	705.25	-2173.3	-1229.4	878.81	-2087.5	-1397.4	837.14	-2124.2	-1337.3	28.176	-2062.5	-1300.3	458.12	-1985.7	-1199.2	29.619	-2085.4	-1271.8	330.82	-2067.4	-1321	1338.3	-2074.7	-1311.7	687.6	-1907.7	-1219.7	57.116	-2137.6	-1239.4	1184.8	-2046.4	-1263	786.98	-2159	-1197.4	788.85	-2307.6	-1779.5	98.701	-2145.2	-1616.6	1286.9	-1992.9	-1564	1475.7	-2237.9	-1633.3	954.76	-1965.4	-1797.3	1009.5	-1847.7	-1474.9	1541.5	-1932.2	-1769.8	680.64	-1936.9	-1794	832.55	-2028.6	-1664.1	845.96	-2382	-1723.3	33.268	-2217.6	-1767.4	454.3	-2196	-1800.8	30.977	-2282.4	-1790.7	254.09	-1977.6	-1647.5	1325.8	-2127.5	-1747.2	591.44	-2107.4	-1754	46.508	-1960.4	-1724	1251.3	-1897.1	-1713.5	777.05	-1979.5	-1819.4	762.54	-1935.8	-1459.3	1074.9	-2219.3	-1544.9	1210.6
4	0.0250	-2100.7	-1509	1365.2	-1942.7	-1447.4	1264.3	-2079.4	-1275.8	109.14	-2039.4	-1424.2	1479.6	-2270	-1456.3	931.85	-2169.5	-1218.7	997.79	-1922.7	-1365.4	1532.7	-2084.4	-1209.7	702.88	-2173.1	-1226.5	878.04	-2084.4	-1395.4	835.35	-2124	-1337.3	28.516	-2056.5	-1297.8	457.18	-1985.8	-1199.9	29.449	-2082.2	-1270.8	330.9	-2062.7	-1317	1336.8	-2071.3	-1309.8	686.92	-1907.9	-1220.6	56.777	-2133.8	-1235.8	1183.8	-2047.6	-1261.6	785.37	-2159.8	-1194.9	787.91	-2307.6	-1779.7	98.701	-2140.1	-1612.7	1285.5	-1988.1	-1560.2	1473.8	-2234.5	-1630.1	954.25	-1960.6	-1794.7	1008.6	-1843.2	-1471.1	1539.8	-1927.9	-1763.3	679.62	-1930.2	-1788.3	830.86	-2026.2	-1661.8	844.61	-2382.2	-1723.4	33.438	-2217.4	-1766.5	454.3	-2195.9	-1800.9	31.147	-2282.7	-1790.4	254.35	-1972.5	-1643.7	1323.9	-2125.9	-1745.3	590.51	-2107.4	-1754.1	46.338	-1955.1	-1720.3	1249.8	-1893	-1707.5	776.37	-1973.9	-1814.6	760.84	-1932.7	-1456.6	1073.7	-2215.1	-1541.1	1209.7
5	0.0333	-2095.3	-1504.3	1363.3	-1935.2	-1445.4	1263.3	-2079.3	-1276.2	109.14	-2034.3	-1420.2	1477.5	-2266.7	-1453	930.75	-2167.4	-1214.7	996.52	-1916.6	-1361.3	1530.2	-2086.5	-1208.6	700.5	-2173.3	-1223	877.62	-2081.5	-1392.6	833.4	-2123.9	-1338	29.11	-2051.3	-1295.4	456.67	-1986.2	-1201.4	29.449	-2079.3	-1269.5	331.24	-2057.5	-1313.1	1335	-2066.4	-1307.4	686.24	-1908.4	-1221.8	56.522	-2130.2	-1231.9	1182.5	-2049.1	-1260.7	782.99	-2160.5	-1192.6	786.81	-2307.6	-1779.7	98.701	-2135.3	-1608.9	1284.5	-1983.4	-1556.4	1471.9	-2230.9	-1626.6	953.49	-1955.4	-1792.2	1007.6	-1838.4	-1467.3	1537.7	-1922.7	-1756	678.18	-1923.5	-1782.8	829.07	-2023.7	-1659.3	843.33	-2382	-1723.3	33.098	-2217.2	-1765.5	454.38	-2196	-1800.9	31.571	-2282.7	-1790.1	254.69	-1967.3	-1639.6	1322.3	-2124.8	-1743.7	589.83	-2107.4	-1754.2	46.168	-1950.1	-1716.3	1248.3	-1887.7	-1701.4	775.95	-1967.6	-1808.8	759.48	-1929.3	-1453.4	1070.9	-2210.6	-1537.5	1208.9
6	0.0417	-2090.2	-1500.1	1361.9	-1929.6	-1441.4	1262.7	-2079.2	-1276.6	109.14	-2029.4	-1416.1	1475.3	-2262.9	-1449.5	929.56	-2165.1	-1210.6	995.25	-1913	-1357.5	1528	-2089.2	-1207.3	698.04	-2173.1	-1219.9	876.69	-2078.2	-1389.2	831.45	-2124	-1339.1	29.789	-2046.5	-1293.1	456.17	-1986.6	-1202.7	28.855	-2076.7	-1268.7	331.75	-2052.2	-1309.1	1333.1	-2060.8	-1305	684.8	-1908.6	-1223	55.843	-2126.1	-1227.6	1181.1	-2050.5	-1260.5	779.34	-2161.2	-1190.4	785.71	-2307.6	-1779.5	98.871	-2130.4	-1604.8	1283.2	-1978.6	-1552.5	1470.4	-2227.6	-1623	952.56	-1949.8	-1788.8	1006.2	-1833.1	-1463.4	1535.5	-1917	-1748	676.91	-1917.6	-1777.5	827.97	-2020.8	-1656.6	842.23	-2382	-1723.3	33.098	-2216.7	-1764.7	454.55	-2196.1	-1800.9	31.656	-2282.7	-1789.7	255.03	-1962	-1635.6	1320.6	-2123.8	-1742.1	589.58	-2107.5	-1754.2	45.914	-1944.9	-1712.1	1246.6	-1882.2	-1694.8	775.78	-1960.4	-1802.1	757.45	-1926.5	-1449.3	1067.4	-2206	-1533.8	1208.1
7	0.0500	-2085.3	-1496.1	1360.6	-1924.1	-1437.2	1261	-2078.8	-1277.3	108.89	-2024.3	-1412.1	1473.1	-2259.1	-1446	928.54	-2162.9	-1206.3	994.31	-1908.1	-1353	1525.6	-2091.1	-1206	695.66	-2172.7	-1217	875.75	-2074.9	-1386.1	829.16	-2124.7	-1340.5	30.892	-2041.8	-1290.7	455.83	-1986.8	-1203.9	28.006	-2074	-1267.8	331.66	-2046.9	-1304.9	1331.1	-2056	-1302.5	683.78	-1908.8	-1224.2	55.079	-2121.4	-1223.4	1179.7	-2051.7	-1259.7	776.03	-2162.2	-1187.9	784.52	-2307.5	-1779.3	98.956	-2124.9	-1600.4	1281.7	-1973.6	-1548.4	1468.6	-2224	-1619.6	951.79	-1944	-1784.9	1004.6	-1828.2	-1458.8	1533.6	-1910.8	-1739.6	676.14	-1911.6	-1771.6	826.87	-2017.4	-1653.6	840.36	-2381.8	-1723.1	33.438	-2216.2	-1763.7	454.38	-2196	-1800.9	31.401	-2282.7	-1789.4	255.37	-1956.7	-1631.1	1318.7	-2122.7	-1740.6	589.49	-2106.3	-1754.9	45.574	-1939.4	-1708.1	1245	-1876.3	-1688.2	775.44	-1952.4	-1794.6	754.9	-1921.7	-1445.2	1066.1	-2201.3	-1530	1206.9
8	0.0583	-2079.7	-1491.7	1359	-1916.7	-1433.4	1257.1	-2078.3	-1278.3	108.8	-2018.9	-1407.8	1471	-2257	-1443.4	928.37	-2160.5	-1202.2	993.29	-1902.3	-1348.1	1523	-2093.1	-1204.4	693.46	-2172.5	-1213.5	874.99	-2071.3	-1383.2	827.55	-2125.4	-1342	32.165	-2037.3	-1288.4	456	-1987.6	-1205.5	27.327	-2070.6	-1266.6	330.98	-2041.8	-1300.6	1328.9	-2052.1	-1299.7	682.93	-1909.3	-1225.4	54.231	-2116.4	-1219	1177.6	-2053.1	-1257.7	773.57	-2163.2	-1185	783.42	-2307.4	-1779.1	99.041	-2119.6	-1596.2	1280.3	-1967.7	-1543.7	1466.2	-2220.2	-1616.1	950.69	-1938	-1781.3	1002.9	-1823	-1454.5	1531.3	-1903.8	-1730.4	675.29	-1906	-1765.9	825.93	-2013.7	-1650.2	838.16	-2380.5	-1722.1	33.268	-2215.8	-1762.7	454.64	-2195.8	-1801.1	30.977	-2282.7	-1789.2	255.62	-1951.2	-1626.6	1316.7	-2121.4	-1738.9	589.15	-2105	-1755.6	44.98	-1934	-1703.6	1243.2	-1869.9	-1681.1	775.44	-1944.3	-1786.6	752.61	-1916.6	-1442.8	1063.7	-2196.1	-1525.4	1205.6
9	0.0667	-2073.7	-1487.1	1357	-1908.1	-1429.6	1253.2	-2078.2	-1280	109.14	-2013.3	-1402.9	1468.6	-2255.8	-1441.9	929.56	-2158.1	-1198.3	992.36	-1896.9	-1343.5	1520.3	-2095.7	-1202.6	690.91	-2172.2	-1210	874.05	-2067.2	-1380	826.19	-2125.9	-1344.3	33.523	-2032.6	-1286	456	-1988.5	-1207.5	27.243	-2068.1	-1265.6	331.32	-2036.2	-1296.1	1326.9	-2047.9	-1296.5	681.66	-1909.9	-1226.8	52.958	-2111.7	-1214	1175.4	-2055	-1255.5	771.03	-2164	-1182.1	782.23	-2307.4	-1778.9	99.211	-2114.2	-1591.7	1278.7	-1962	-1538.5	1463.8	-2216.1	-1612.5	949.76	-1931.8	-1777.6	1001.6	-1816.9	-1448.7	1528.6	-1896.2	-1720.7	674.78	-1899.5	-1759.1	825.17	-2010.4	-1646.7	836.2	-2380.4	-1721.8	33.098	-2215.1	-1761.4	454.64	-2195.8	-1801.4	30.722	-2282.4	-1788.4	255.54	-1945.8	-1621.8	1315	-2119.7	-1736.8	588.39	-2105.8	-1755.3	45.574	-1928.5	-1699.1	1241.5	-1862.9	-1673.3	775.52	-1936.5	-1778.7	750.83	-1912.7	-1438.1	1060.6	-2191.2	-1520.9	1204.4
10	0.0750	-2067.6	-1482	1355.1	-1901.5	-1425.3	1250.2	-2078.4	-1282.3	109.9	-2007.3	-1397.4	1466.1	-2251.5	-1438.7	928.79	-2155.5	-1194.1	991.26	-1891.5	-1338.6	1517.8	-2098.7	-1200.6	688.62	-2171.7	-1206.2	873.12	-2063.1	-1376.7	823.56	-2126.5	-1347.4	34.287	-2027.6	-1283.2	455.15	-1990	-1209.6	26.649	-2066	-1264.7	332.17	-2030.3	-1291.3	1324.9	-2043.2	-1293.6	680.73	-1910.8	-1228.4	51.345	-2107.1	-1209.5	1173.9	-2056.9	-1253.2	768.05	-2164.2	-1179.1	780.7	-2307.4	-1778.8	99.295	-2108.6	-1586.9	1277.3	-1956.5	-1533.7	1461.6	-2212	-1608.8	948.99	-1925.4	-1773.2	999.91	-1811.3	-1443.8	1526	-1888.1	-1710.4	674.78	-1890.6	-1749.1	823.98	-2006.6	-1643.1	833.83	-2381.8	-1723	33.693	-2214.1	-1759.9	454.3	-2195.9	-1801.7	30.552	-2282.3	-1787.8	255.62	-1940.2	-1617	1313	-2117.2	-1734.2	586.52	-2106.7	-1755.7	45.914	-1922.8	-1694.4	1239.9	-1856.6	-1663.7	776.54	-1928.5	-1770.4	749.21	-1907.7	-1434.1	1057.7	-2185.7	-1516.6	1203.1
11	0.0833	-2061.5	-1476.8	1353	-1896.2	-1420.3	1247.7	-2078.4	-1284.6	110.41	-2001.4	-1392.3	1463.8	-2244	-1433.2	924.98	-2152.7	-1189.6	990.24	-1885.8	-1333.4	1515.2	-2101.7	-1198.7	686.41	-2170.9	-1202.4	872.19	-2059.4	-1372.8	821.61	-2127	-1350.6	35.645	-2022.7	-1280.7	454.38	-1991.5	-1211.9	25.63	-2061.8	-1263.5	331.41	-2024.1	-1286.1	1322.6	-2038.5	-1290.8	679.96	-1911.9	-1230.3	50.412	-2101.8	-1204.7	1172	-2058.9	-1250.5	765.85	-2164.3	-1176.3	779.26	-2307.4	-1778.7	99.38	-2102.6	-1582	1275.8	-1950.7	-1528.8	1459.5	-2207.8	-1604.9	948.14	-1918.9	-1768.8	998.3	-1803.5	-1437.2	1522.4	-1878.9	-1698.9	674.78	-1881.9	-1738.8	823.3	-2002.8	-1639.4	831.79	-2382.4	-1723.6	34.202	-2212.9	-1758.2	453.87	-2195.9	-1802.1	30.383	-2282	-1787	256.05	-1934.1	-1611.7	1310.7	-2114.7	-1731.4	584.66	-2106.6	-1756.3	45.404	-1917	-1689.6	1238.1	-1850.5	-1653.3	778.66	-1919.5	-1761.3	747.43	-1903.4	-1428.2	1053.9	-2179.9	-1511.8	1201.5
12	0.0917	-2055.4	-1471.5	1351.1	-1890.8	-1415.4	1245.4	-2078.4	-1287.4	111.26	-1995.3	-1387.3	1461.5	-2238.6	-1428.8	922.68	-2149.4	-1184.9	988.97	-1879.6	-1328	1512.8	-2104.7	-1196.4	683.95	-2170.4	-1198.8	871.42	-2055.2	-1369	819.91	-2127.7	-1354.2	37.681	-2017.6	-1278.2	453.7	-1993	-1214.7	24.781	-2057.5	-1262.2	330.73	-2017.6	-1280.8	1320.2	-2034.1	-1287.5	678.69	-1913.6	-1232.5	49.393	-2096.2	-1199.7	1169.8	-2061.1	-1248.3	763.47	-2165.2	-1173	778.41	-2307.4	-1778.7	99.55	-2096.4	-1576.8	1274.3	-1943.9	-1522.9	1456.6	-2203.1	-1600.6	946.79	-1911.9	-1764.2	996.69	-1797	-1431.6	1519.6	-1868.7	-1687.2	674.95	-1873.7	-1730	822.71	-1999.1	-1635.8	830.01	-2382.3	-1723.5	34.287	-2211.6	-1756.5	453.79	-2195.6	-1802.7	29.958	-2282	-1786.5	256.47	-1927.9	-1606.6	1308.6	-2112.9	-1729.1	584.23	-2106.8	-1756	43.792	-1911	-1684.5	1236	-1843.6	-1643.2	780.78	-1909.5	-1751.3	745.73	-1898.3	-1423.9	1052.6	-2174.1	-1507.2	1200
13	0.1000	-2049	-1465.8	1349.2	-1885.1	-1410.6	1242.8	-2078.3	-1290.1	112.2	-1989	-1381.3	1459	-2234.8	-1425.4	922.51	-2145.6	-1180.5	987.52	-1873	-1321.7	1509.9	-2108.7	-1194.4	682.85	-2170.2	-1195.5	871.25	-2050.7	-1365.8	817.53	-2128.5	-1358.1	39.888	-2012.3	-1275.4	452.86	-1994.5	-1217.8	24.697	-2055.5	-1262.1	331.75	-2010.9	-1275.4	1317.7	-2029.6	-1283.7	677.08	-1915.2	-1235.3	47.611	-2090.7	-1194.8	1168.1	-2062.8	-1245.9	761.1	-2167.4	-1169.9	777.73	-2307.4	-1778.6	100.14	-2090.5	-1572	1273.1	-1937.5	-1516.9	1454.3	-2198.2	-1596.3	945.6	-1904.8	-1759.1	995.08	-1790.9	-1426.4	1517.4	-1858.4	-1675.1	676.31	-1864.6	-1721.6	821.61	-1995.3	-1632.3	827.97	-2382.3	-1723.5	34.372	-2210.1	-1754.7	453.79	-2195.4	-1803	29.619	-2282	-1786.4	256.73	-1922.1	-1601.4	1307.1	-2111	-1726.8	583.89	-2107.2	-1755.3	41.755	-1904.6	-1679.1	1234.4	-1835.1	-1632.8	782.99	-1899.3	-1740.8	744.55	-1893	-1419.9	1050.5	-2168.1	-1502.4	1198.5
14	0.1083	-2042.2	-1459.9	1347	-1878.9	-1405.2	1240.3	-2078.4	-1292.7	112.7	-1982.4	-1375.2	1456.3	-2230.2	-1421.5	921.5	-2141.5	-1176.3	986	-1865.7	-1315.8	1507.1	-2113	-1192.3	682.34	-2169.9	-1192	871.25	-2045.5	-1361.8	815.67	-2129.1	-1362.4	41.84	-2007	-1273	452.18	-1996.5	-1221.2	24.442	-2053.3	-1262.2	332.26	-2004	-1269.5	1314.9	-2024.8	-1279.9	675.38	-1916.8	-1238.6	46.168	-2084.8	-1189.3	1166.1	-2064.4	-1242.9	759.4	-2169.2	-1166.8	777.39	-2307.4	-1778.3	100.48	-2084.2	-1566.8	1271.8	-1931.2	-1511.2	1452.4	-2193.6	-1592.1	944.07	-1897.1	-1753.4	993.12	-1784.6	-1420.6	1515	-1847.7	-1662.1	678.69	-1855.9	-1712.5	821.18	-1991.4	-1628.7	825.68	-2382.2	-1723.6	34.796	-2208.3	-1752.3	453.19	-2195.2	-1803	29.449	-2281.3	-1785.7	256.81	-1915.7	-1595.9	1305.4	-2108	-1724	582.53	-2107.3	-1755.2	40.482	-1898.1	-1673.7	1233.1	-1826.3	-1622.3	786.05	-1889.1	-1729.4	743.95	-1886.8	-1415.5	1047.8	-2162.1	-1497.5	1196.7
15	0.1167	-2035.6	-1453.9	1345	-1872.4	-1399.8	1238.1	-2078.8	-1296	113.64	-1975.6	-1369.3	1453.8	-2225.5	-1417.4	920.31	-2137.7	-1171.5	984.81	-1858.7	-1309.5	1504.7	-2116.2	-1189.6	680.98	-2168.1	-1187	870.74	-2040.5	-1356.8	813.46	-2129.9	-1367	43.962	-2001.8	-1270.4	451.58	-1998.6	-1224.6	24.102	-2048.9	-1261.4	331.24	-1997	-1263.6	1312.4	-2019.9	-1275.8	673.6	-1918.9	-1241.7	45.574	-2078.3	-1183.9	1164	-2065.7	-1239.8	757.79	-2169.8	-1163.1	777.31	-2307	-1777.9	100.91	-2077.9	-1561.3	1270.3	-1924.7	-1505.3	1450.2	-2188.9	-1588.2	942.8	-1888.8	-1747.4	991.26	-1778.3	-1414.7	1512.4	-1836.8	-1648.4	680.98	-1847.2	-1702.9	821.78	-1987.2	-1624.6	823.3	-2381.5	-1722.9	34.796	-2205.5	-1749.5	452.35	-2195.4	-1803	29.279	-2279.8	-1784.1	256.56	-1909	-1589.9	1303.2	-2104.9	-1720.7	581.01	-2106.9	-1755.2	39.294	-1891.8	-1668.4	1231.9	-1817.2	-1611.9	790.21	-1878.9	-1717.8	742.85	-1880.1	-1411.5	1044.4	-2156	-1492.7	1195.4
16	0.1250	-2029	-1447.8	1342.9	-1866.2	-1393.7	1234.9	-2078.9	-1299.2	115	-1968.5	-1362.9	1451.2	-2219.7	-1412.2	918.7	-2133.9	-1166.3	984.3	-1851.8	-1303.1	1502.2	-2118.7	-1187.2	679.2	-2165.9	-1182	870.32	-2036	-1352	811.17	-2130.8	-1371.3	46.847	-1996.5	-1267.4	450.9	-2000.9	-1228.5	24.102	-2044.3	-1260	330.39	-1989.6	-1257.1	1309.9	-2015.1	-1271.4	671.73	-1920.9	-1244.5	44.895	-2072.5	-1178.6	1162.5	-2067	-1236.6	755.92	-2170.3	-1159.3	777.22	-2306.8	-1777.4	101.33	-2071.3	-1555.8	1268.8	-1918.4	-1499.3	1448.2	-2183.7	-1583.6	941.1	-1881.7	-1742	990.32	-1771.4	-1408.5	1510.1	-1825.4	-1634	683.36	-1837.9	-1692.6	822.54	-1982.6	-1620	820.93	-2380.6	-1721.8	34.796	-2202.9	-1746.6	451.75	-2195.6	-1803	29.279	-2278	-1782.1	256.39	-1901.9	-1583.6	1301.4	-2101.5	-1717.1	579.48	-2106.7	-1755.2	38.021	-1885.1	-1662.4	1230.5	-1807.5	-1600.5	794.79	-1867.6	-1706.2	741.83	-1875.2	-1404.6	1041.1	-2149.9	-1487.7	1193.9
17	0.1333	-2022.2	-1441.5	1340.9	-1859.9	-1386.6	1231.1	-2079.3	-1302.5	116.44	-1961.5	-1356	1448.8	-2212.7	-1405.9	915.98	-2130	-1161	983.62	-1844.7	-1296.7	1499.9	-2121.1	-1184.5	678.52	-2164.2	-1177.5	870.41	-2030.5	-1347.4	809.98	-2131.8	-1376.1	50.412	-1991.4	-1264.5	449.8	-2003.2	-1232.4	24.272	-2040.9	-1259.4	330.22	-1982	-1250.4	1307	-2010.3	-1266.9	669.69	-1922.5	-1247.6	43.368	-2066.5	-1172.9	1161.6	-2068.4	-1233.6	754.56	-2170.8	-1155.3	777.22	-2306.2	-1776.5	101.16	-2064.6	-1549.9	1267.5	-1911.5	-1492.7	1446.2	-2178.5	-1578.7	939.32	-1874.4	-1736.3	989.48	-1764.4	-1401.8	1507.6	-1813.6	-1619.4	686.33	-1828.2	-1681.7	823.39	-1978.1	-1615.3	818.72	-2381.3	-1722.1	35.645	-2199.7	-1743.4	450.99	-2195.8	-1803	29.279	-2276.2	-1780	256.3	-1895.2	-1577.4	1300.3	-2097.3	-1713	577.53	-2106.3	-1755.2	36.748	-1878.1	-1656.1	1229.3	-1797.3	-1589.3	799.29	-1856.2	-1693.7	742.34	-1869.2	-1398.5	1037.9	-2143.3	-1482.2	1192.3
